path	pred
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/0.wav	vi đi ô này được mang đến cho bạn bởi con
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/1.wav	phúc lộc editor minh châu và
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/2.wav	đọc vui vẻ được phục vụ tốt nhất vào lúc ăn trưa ăn
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/3.wav	trước khi đi ngủ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/5.wav	tộc ở mỹ và để chống lại việc
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/6.wav	mùa luôn vào cái ngân hàng
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/7.wav	ở quê để trả thù đời
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/8.wav	diễn biến câu chuyện như nào mời
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/9.wav	xem tiếp chúng ta có bơ nát ca rép một người da màu có tham vọng giàu có ngay từ khi còn là một thiếu nhi đánh giày thì những suy nghĩ làm giàu đã hình
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/12.wav	da trắng
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/15.wav	như đần
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/19.wav	mà việc trở thành một nhà kinh doanh còn khó hơn cả tìm
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/20.wav	cái gì đấy ngay cả bố cũng khuyên cậu nên tỉnh ra
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/23.wav	đã lớn và bắt đầu hành trình của mình ở lốt an dơ lét với một kẻ từ chốn xa lạ
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/24.wav	thì gia đình bơ nát cần một nơi tạm trú cụ thể thì đó là nhà của chú vợ anh ông này ngỏ ý muốn bơ nát tìm một
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/25.wav	việc tay chân nhưng mà bơ nát đến đây để làm người chứ không phải làm trâu ngựa và
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/26.wav	ngành mình muốn tham gia là
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/27.wav	bất động sản
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/28.wav	hơi kén
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/29.wav	cháu rể xả đồ chưa sạch vẫn còn đang ngáo ngơ lắm thì
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/32.wav	tuyệt đối vào anh để đáp lại sự tin tưởng tuyệt đối này thì bơ nát quyết tâm mua một cái nhà thật oách
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/33.wav	cho oai những ngày sau đó bơ nát đi khắp nơi để
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/35.wav	là chỗ này thừa quá nhiều nhà cho người da
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/36.wav	trong khi nhà của người ta màu thì thiếu mà còn đất trong số những tòa chung cư bơ nát để ý thì có một tòa đang thuộc sở hữu của ông bác cờ địa thế chỗ này đẹp gần khu ra mà vậy nên là bác phải thâu tóm cho bằng được tuy đã có đủ tiền mua nhưng mà anh bị thiếu tiền tu sửa thấy chống túng tiền thì du nít ngỏ ý giúp đỡ bằng cách
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/38.wav	cô đưa chồng đến một hộp đêm để gặp cá mập đen chô mô rít một nhà giàu
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/39.wav	tính hơi nhây
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/241.wav	rồi ô kê mời vô một hai
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/243.wav	những ai yêu thích khám phá yêu thích
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/244.wav	khách mời của ta ba lô số đầu tiên là anh ngô trần hải an hay còn được gọi với cái tên là quý
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/245.wav	người kể chuyện qua những tấm ảnh tên của anh nghe thú vị ghê ha cùng tuyến và anh tuyển bắt đầu hành trình ta ba lô số đầu tiên này nha
/bigdata/voice_recognition/trind18/datasets/asr/yb/segments/246.wav	ô kê tình cờ gặp anh quyển ở đây nên là thôi em bắt cóc anh vô đài qua cái số này luôn
